[38;5;4mℹ Saving to output directory:
/content/drive/MyDrive/Sem/trained_models/output[0m
[38;5;4mℹ Using GPU: 0[0m
[1m
=========================== Initializing pipeline ===========================[0m
[38;5;2m✔ Initialized pipeline[0m
[1m
============================= Training pipeline =============================[0m
[38;5;4mℹ Pipeline: ['tok2vec', 'ner'][0m
[38;5;4mℹ Initial learn rate: 0.0001[0m
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     66.45    0.00    0.00    0.00    0.00
  0     200         76.75   6134.37    0.00    0.00    0.00    0.00
  2     400       1208.90   3317.24   21.78   48.51   14.04    0.22
  3     600        443.56   3280.66   26.77   40.23   20.06    0.27
  4     800       2612.55   3986.77   30.33   53.24   21.20    0.30
  6    1000      12585.62   5657.96   33.72   50.87   25.21    0.34
  9    1200      23047.01   6679.25   31.98   48.82   23.78    0.32
 12    1400       4046.20   7564.08   47.88   58.75   40.40    0.48
 17    1600       5900.45   8523.02   52.06   51.69   52.44    0.52
 22    1800       1313.51   9785.19   49.48   45.35   54.44    0.49
 28    2000       1705.68  11501.62   53.06   48.57   58.45    0.53
 36    2200       1262.22  13232.72   53.35   47.74   60.46    0.53
 46    2400       1541.99  14982.32   55.77   50.00   63.04    0.56
 55    2600       1367.54  14413.33   59.34   53.58   66.48    0.59
 65    2800       1438.46  13902.14   54.73   48.35   63.04    0.55
 74    3000       1215.92  13076.70   58.27   52.40   65.62    0.58
 84    3200       1290.12  12671.58   57.14   50.44   65.90    0.57
 94    3400       1150.04  12287.29   63.01   57.93   69.05    0.63
103    3600       1108.10  12083.79   63.58   57.71   70.77    0.64
113    3800       1150.60  11658.61   65.53   60.58   71.35    0.66
122    4000       1160.28  11574.25   65.53   60.58   71.35    0.66
132    4200       1031.81  11177.76   64.33   58.77   71.06    0.64
141    4400        994.97  10841.68   62.96   56.33   71.35    0.63
151    4600       1086.08  10797.13   64.62   58.29   72.49    0.65
161    4800       1228.49  10562.96   65.38   59.35   72.78    0.65
170    5000       1239.20  10326.52   65.45   60.24   71.63    0.65
180    5200       1032.53  10222.16   67.81   63.05   73.35    0.68
189    5400       1447.84  10143.01   66.14   61.02   72.21    0.66
